timestamp,mid,x,y,z,mpry,pitch,roll,yaw,vgx,vgy,vgz,templ,temph,tof,h,bat,baro,time,agx,agy,agz,t_s,vxy,h_fused,dt_s,flight_mask,yaw_unwrapped_deg,vx_body_m_s,vy_body_m_s,vz_odom_m_s,vx_world_m_s,vy_world_m_s,vz_fused_m_s,az_world_dyn_m_s2,z_meas_m,x_m,y_m,z_m,step_dist_2d_m,step_dist_3d_m,dist_2d_m,dist_3d_m
1773321534.5533462,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.95,0,4.0,-11.0,-1001.0,5.186506271362305,0.0,6.0,0.10212826728820801,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05869922573185704,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.656193,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.98,0,4.0,-10.0,-1000.0,5.289353132247925,0.0,6.0,0.10284686088562012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.26960683410993624,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.761215,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.95,0,5.0,-10.0,-998.0,5.3943750858306885,0.0,6.0,0.10502195358276367,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038332920812422344,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.8641012,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.96,0,6.0,-10.0,-1001.0,5.49726128578186,0.0,6.0,0.10288619995117188,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.45331379017443396,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321534.966594,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.98,0,7.0,-10.0,-996.0,5.599754095077515,0.0,6.0,0.1024928092956543,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21470151433595674,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321535.071935,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.92,0,6.0,-11.0,-1000.0,5.705095052719116,0.0,6.0,0.10534095764160156,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05088624205575343,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321535.1742258,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.93,0,6.0,-10.0,-998.0,5.8073859214782715,0.0,6.0,0.10229086875915527,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13664355283083296,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321535.278691,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,50,52,10,0,100,2.96,0,6.0,-10.0,-1000.0,5.911851167678833,0.0,6.0,0.10446524620056152,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11333261125980698,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321535.382796,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,54,10,0,100,2.98,0,5.0,-9.0,-1001.0,6.015956163406372,0.0,6.0,0.10410499572753906,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5133135425323871,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773321535.486433,-1,-100,-100,-100,"0,0,0",0,0,0,0,0,0,51,54,10,0,100,2.98,0,6.0,-11.0,-1000.0,6.119593143463135,0.0,6.0,0.1036369800567627,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6332982875503603,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
