t_s,dt_s,yaw,yaw_unwrapped_deg,vgx,vgy,vxy,vx_world_m_s,vy_world_m_s,h,tof,h_fused,x_m,y_m,step_dist_m,dist_2d_m
23.19283103942871,0.10349512100219727,-84,-84.0,-8,-1,8.06225774829855,-0.009659376098766185,0.06798589635828359,70,175,133.0,0.1128837417388696,0.06501659927906003,0.007106871866614123,0.16723970897534135
23.29797601699829,0.10514497756958008,-84,-84.0,-8,-1,8.06225774829855,-0.01182140607784839,0.07061853901790903,70,175,133.0,0.11164078026197333,0.0724417839800946,0.00752850058627386,0.1747682095616152
23.403443098068237,0.10546708106994629,-84,-84.0,-8,-1,8.06225774829855,-0.013442928562160044,0.07259302101262811,70,175,133.0,0.1102229938254905,0.08009795801234576,0.007786341836292041,0.18255455139790724
23.508870124816895,0.10542702674865723,-84,-84.0,-7,-1,7.0710678118654755,-0.014397749267224652,0.07158757777024671,70,175,133.0,0.10870508192837434,0.08764522348880113,0.007698394163687776,0.19025294556159503
23.61285901069641,0.1039888858795166,-84,-84.0,-5,0,5.0,-0.012104917741264157,0.06612220701978845,70,174,132.39999999999998,0.1074463050187971,0.09452119812868369,0.006990246530444607,0.19724319209203964
23.718285083770752,0.10542607307434082,-84,-84.0,-4,0,4.0,-0.010123972938624652,0.059536874218524084,60,174,128.39999999999998,0.106378974307967,0.10079793698066365,0.006366839519120594,0.20361003161116023
23.821694135665894,0.1034090518951416,-84,-84.0,-4,0,4.0,-0.008638264336645024,0.054597874617575794,60,173,127.8,0.10548569958289493,0.10644385143035698,0.005716142904766161,0.2093261745159264
23.924031972885132,0.10233783721923828,-84,-84.0,-4,0,4.0,-0.007523982885160301,0.050893624916864576,60,173,127.8,0.10471571144715305,0.11165219493259604,0.005264952399262413,0.2145911269151888
24.02830195426941,0.10426998138427734,-84,-84.0,-4,0,4.0,-0.006688271796546761,0.048115437641331166,60,173,127.8,0.10401832547143414,0.116669190719754,0.005065233847266099,0.2196563607624549
24.128751039505005,0.1004490852355957,-83,-83.0,-3,0,3.0,-0.0065592575610244,0.04343763337933718,70,174,132.39999999999998,0.10335945404960457,0.12103246125750759,0.004412736264057969,0.22406909702651287
24.2290940284729,0.10034298896789551,-83,-83.0,-3,0,3.0,-0.005833463246306905,0.04002232117181279,70,159,123.39999999999999,0.10277410691143578,0.12504842058932036,0.004058393848178928,0.2281274908746918
24.3336501121521,0.10455608367919922,-83,-83.0,-2,0,2.0,-0.004984444151755916,0.0349794716370662,70,159,123.39999999999999,0.10225295295161049,0.12870573715285963,0.0036942612110921814,0.23182175208578398
24.437459230422974,0.10380911827087402,-83,-83.0,-2,0,2.0,-0.004347679830842674,0.031197334486006263,70,159,123.39999999999999,0.10180162414184665,0.13194430493825346,0.0032698652869978624,0.23509161737278184
