t_s,dt_s,flight_mask,roll,pitch,yaw,yaw_unwrapped_deg,vgx,vgy,vgz,vxy,agx,agy,agz,vx_world_m_s,vy_world_m_s,vz_odom_m_s,vz_fused_m_s,az_world_dyn_m_s2,h,tof,h_fused,z_meas_m,x_m,y_m,z_m,step_dist_2d_m,step_dist_3d_m,dist_2d_m,dist_3d_m
22.95963716506958,0.10053205490112305,1,1,0,0,0.0,0,0,0,0.0,1.0,4.0,-1003.0,0.0,-1.3601711967000762e-05,9.042352010947562e-20,0.02785099385881229,2.323362319016287,60,136,105.6,1.056,0.0,-0.08471028046924228,1.0648928006344638,1.367408054215783e-06,0.0031286164114672226,0.08471028046924228,1.8033914672510802
23.0608971118927,0.10125994682312012,1,1,0,0,0.0,0,0,0,0.0,-18.0,2.0,-1000.0,0.0,-1.0201283975250571e-05,6.78176400821067e-20,0.019776879403168583,1.6780356449296214,60,138,106.8,1.068,0.0,-0.08471131345071514,1.0673372438346935,1.0329814728614202e-06,0.0024444434184902166,0.08471131345071514,1.8058359106695705
23.163276195526123,0.10237908363342285,1,1,0,0,0.0,0,0,0,0.0,-8.0,2.0,-1031.0,0.0,-7.650962981437927e-06,5.086323006158003e-20,-0.038973945513052284,-4.0,60,145,111.0,1.11,0.0,-0.0847120967492941,1.0820082762044931,7.832985789528559e-07,0.01467103239071009,0.0847120967492941,1.8205069430602805
23.268704175949097,0.10542798042297363,1,1,0,0,0.0,0,0,0,0.0,-8.0,2.0,-1031.0,0.0,-5.7382222360784456e-06,3.8147422546185024e-20,-0.046068586720494686,-4.0,60,145,111.0,1.11,0.0,-0.08471270171847567,1.0902908148873665,6.049691815679504e-07,0.008282538704967252,0.08471270171847567,1.8287894817652477
23.374131202697754,0.10542702674865723,1,1,0,0,0.0,0,0,0,0.0,-13.0,-14.0,-991.0,0.0,-4.303666677058834e-06,2.861056690963877e-20,-0.04677766937151236,-4.0,60,148,112.8,1.128,0.0,-0.08471315544125754,1.1024155105723776,4.537227818795865e-07,0.012124695693500642,0.08471315544125754,1.8409141774587483
23.475937128067017,0.1018059253692627,1,1,0,0,0.0,0,0,0,0.0,-19.0,-22.0,-978.0,0.0,-3.227750007794126e-06,2.1457925182229077e-20,-0.01767450661465895,-1.2766191781437992,60,151,114.6,1.146,0.0,-0.08471348404533395,1.1187696846426163,3.2860407640412586e-07,0.016354174073539965,0.08471348404533395,1.8572683515322883
23.580769300460815,0.10483217239379883,1,1,0,0,0.0,0,0,0,0.0,-19.0,-22.0,-978.0,0.0,-2.4208125058455944e-06,1.6093443886671806e-20,0.030873186315535928,3.113608754990622,60,151,114.6,1.146,0.0,-0.08471373782436789,1.1316037126996754,2.537790339458695e-07,0.012834028059568235,0.08471373782436789,1.8701023795918565
23.685431241989136,0.10466194152832031,1,1,0,0,0.0,0,0,0,0.0,3.0,-27.0,-996.0,0.0,-1.8156093793841958e-06,1.2070082915003854e-20,0.034578914078967606,3.0088869924979127,60,154,116.39999999999999,1.164,0.0,-0.08471392784957059,1.1467336853898726,1.9002520270337862e-07,0.015129972691390537,0.08471392784957059,1.885232352283247
23.785760164260864,0.10032892227172852,1,1,0,0,0.0,0,0,0,0.0,3.0,-27.0,-996.0,0.0,-1.361707034538147e-06,9.052562186252892e-21,0.032805200601826505,2.925109582503654,60,154,116.39999999999999,1.164,0.0,-0.08471406446816981,1.1556149974866972,1.366185992250437e-07,0.008881312097875304,0.08471406446816981,1.8941136643811223
23.891249179840088,0.10548901557922363,1,1,0,0,0.0,0,0,0,0.0,11.0,-13.0,-1065.0,0.0,-1.0212802759036103e-06,6.789421639689669e-21,-0.0389150861715068,-4.0,60,158,118.8,1.188,0.0,-0.08471417220202075,1.1661059300131704,1.0773385093554976e-07,0.010490932527026434,0.08471417220202075,1.9046045969081487
23.991770029067993,0.10052084922790527,1,1,0,0,0.0,0,0,0,0.0,3.0,-2.0,-1061.0,0.0,-7.659602069277077e-07,5.092066229767252e-21,-0.04409984830831279,-4.0,60,160,120.0,1.2,0.0,-0.08471424919699122,1.1770037854862383,7.699497047515522e-08,0.010897855473339865,0.08471424919699122,1.9155024523814885
24.093032121658325,0.10126209259033203,1,0,0,0,0.0,0,0,1,0.0,-18.0,-5.0,-1061.0,0.0,-5.744701551957808e-07,0.0025,-0.042664821866964096,-4.0,70,164,126.39999999999999,1.264,0.0,-0.08471430736904127,1.2092100738063976,5.817205004581756e-08,0.032206288320211794,0.08471430736904127,1.9477087407017004
24.194583892822266,0.10155177116394043,1,0,0,0,0.0,0,0,2,0.0,-32.0,3.0,-1040.0,0.0,-4.3085261639683555e-07,0.006875,-0.038699690652272585,-4.0,70,166,127.6,1.276,0.0,-0.08471435112288758,1.2335680310062975,4.375384630571645e-08,0.024357957199939266,0.08471435112288758,1.9720666979016397
24.29681420326233,0.10223031044006348,1,0,0,0,0.0,0,0,3,0.0,-17.0,-6.0,-1042.0,0.0,-3.231394622976267e-07,0.01265625,-0.03337146824125265,-4.0,70,169,129.39999999999998,1.2939999999999998,0.0,-0.08471438415753513,1.255693873268892,3.303464754612157e-08,0.02212584226261917,0.08471438415753513,1.9941925401642588
24.402268171310425,0.1054539680480957,1,0,0,0,0.0,0,0,3,0.0,-42.0,-29.0,-1047.0,0.0,-2.4235459672322e-07,0.0169921875,-0.03022576529336355,-4.0,70,174,132.39999999999998,1.3239999999999998,0.0,-0.08471440971478902,1.2811038678288498,2.5557253899159563e-08,0.025409994559970592,0.08471440971478902,2.0196025347242292
24.50537109375,0.1031029224395752,1,0,0,0,0.0,0,0,3,0.0,-28.0,-2.0,-1003.0,0.0,-1.8176594754241503e-07,0.020244140625,-0.026044018942666437,-4.0,80,177,138.2,1.382,0.0,-0.08471442845538942,1.3198511920182734,1.874060039162151e-08,0.038747324189428146,0.08471442845538942,2.0583498589136573
24.61085605621338,0.1054849624633789,1,0,0,0,0.0,0,0,4,0.0,-13.0,0.0,-1020.0,0.0,-1.363244606568113e-07,0.02518310546875,-0.022133591957743205,-4.0,80,180,140.0,1.4,0.0,-0.08471444283557003,1.3505098585408586,1.4380180615224114e-08,0.03065866652258857,0.08471444283557003,2.089008525436246
24.71632409095764,0.1054680347442627,1,0,0,0,0.0,0,0,4,0.0,-18.0,-19.0,-1037.0,0.0,-1.0224334549260845e-07,0.0288873291015625,-0.018401976902073153,-4.0,90,183,145.8,1.4580000000000002,0.0,-0.08471445361897474,1.3923414229209525,1.0783404714784083e-08,0.04183156438009533,0.08471445361897474,2.130840089816341
24.81981921195984,0.10349512100219727,1,0,0,0,0.0,0,0,4,0.0,8.0,-2.0,-1011.0,0.0,-7.668250911945635e-08,0.031665496826171875,-0.014739298947531534,-4.0,90,186,147.6,1.476,0.0,-0.0847144615552403,1.424889586435734,7.93626556007023e-09,0.03254816351478248,0.0847144615552403,2.1633882533311235
24.923502922058105,0.1036837100982666,1,0,0,0,0.0,0,0,4,0.0,4.0,-29.0,-986.0,0.0,-5.7511881839592257e-08,0.0337491226196289,-0.012573203576393778,-4.0,100,190,154.0,1.54,0.0,-0.08471446751828558,1.470151570024668,5.963045283862048e-09,0.04526198358893425,0.08471446751828558,2.208650236920058
25.027118921279907,0.10361599922180176,1,0,0,0,0.0,0,0,4,0.0,-10.0,-4.0,-976.0,0.0,-4.3133911379694194e-08,0.03531184196472168,-0.010923062278110567,-4.0,100,193,155.8,1.558,0.0,-0.0847144719876489,1.5046118596072957,4.46936332795166e-09,0.0344602895826281,0.0847144719876489,2.243110526502686
25.12887215614319,0.10175323486328125,1,0,0,0,0.0,0,0,3,0.0,-6.0,0.0,-1003.0,0.0,-3.235043353477065e-08,0.03398388147354126,-0.01120810684693642,-4.0,110,196,161.6,1.6159999999999999,0.0,-0.08471447527941017,1.548482839087356,3.291761261392488e-09,0.04387097948006037,0.08471447527941017,2.2869815059827463
25.22930121421814,0.10042905807495117,1,0,0,0,0.0,0,0,3,0.0,-8.0,6.0,-966.0,0.0,-2.4262825151077985e-08,0.03298791110515595,0.020831110219713858,-0.7704143838985829,110,200,164.0,1.64,0.0,-0.08471447771610285,1.5863449327192263,2.436692676159997e-09,0.037862093631870396,0.08471447771610285,2.3248435996146166
25.329777002334595,0.10047578811645508,1,1,0,0,0.0,0,0,3,0.0,-15.0,6.0,-973.0,0.0,-1.819711886330849e-08,0.03224093332886696,0.07129026626453369,4.0,110,196,161.6,1.6159999999999999,0.0,-0.08471447954447271,1.6025047270443122,1.8283698592397316e-09,0.016159794325086067,0.08471447954447271,2.341003393939703
25.43214702606201,0.10237002372741699,1,1,0,0,0.0,0,0,3,0.0,-13.0,7.0,-970.0,0.0,-1.3647839147481367e-08,0.03168069999665022,0.07658966611440537,4.0,120,199,167.39999999999998,1.6739999999999997,0.0,-0.08471448094160233,1.6358071277890311,1.397129617355638e-09,0.033302400744718935,0.08471448094160233,2.374305794684422
25.53427004814148,0.10212302207946777,1,1,0,0,0.0,0,0,2,0.0,-5.0,-4.0,-982.0,0.0,-1.0235879360611025e-08,0.028760524997487665,0.07439264794096655,4.0,120,198,166.8,1.6680000000000001,0.0,-0.08471448198692126,1.653242597890354,1.0453189339464482e-09,0.01743547010132288,0.08471448198692126,2.391741264785745
25.635791063308716,0.10152101516723633,1,0,0,0,0.0,0,0,2,0.0,-11.0,-7.0,-983.0,0.0,-7.676909520458268e-09,0.026570393748115748,0.07196102523429536,4.0,120,200,168.0,1.68,0.0,-0.08471448276628891,1.668328892534769,7.793676478639449e-10,0.01508629464441504,0.08471448276628891,2.4068275594301602
25.737755060195923,0.10196399688720703,1,0,0,0,0.0,0,0,2,0.0,-22.0,5.0,-970.0,0.0,-5.7576821403437026e-09,0.02492779531108681,0.07041671705829049,4.0,120,204,170.39999999999998,1.7039999999999997,0.0,-0.0847144833533652,1.6869053174722246,5.870762838355328e-10,0.018576424937455604,0.0847144833533652,2.425403984367616
25.839837074279785,0.1020820140838623,1,0,0,0,0.0,0,0,2,0.0,0.0,-11.0,-985.0,0.0,-4.318261605257777e-09,0.02369584648331511,0.06920073917435757,4.0,120,207,172.2,1.722,0.0,-0.08471448379418205,1.7051816809819411,4.408168420057262e-10,0.018276363509716516,0.08471448379418205,2.443680347877333
25.942349910736084,0.10251283645629883,1,0,0,0,0.0,0,0,1,0.0,-11.0,2.0,-989.0,0.0,-3.238696203943332e-09,0.020271884862486333,0.06616990487619298,4.0,130,209,177.39999999999998,1.7739999999999998,0.0,-0.08471448412618998,1.7367789673713059,3.3200793428647863e-10,0.03159728638936477,0.08471448412618998,2.4752776342666976
26.04290509223938,0.1005551815032959,1,0,0,0,0.0,0,0,1,0.0,-36.0,9.0,-990.0,0.0,-2.4290221529574993e-09,0.017703913646864747,0.06277258537111594,4.0,130,208,176.8,1.768,0.0,-0.08471448437044074,1.7530546456520377,2.4425076346616794e-10,0.016275678280731846,0.08471448437044074,2.4915533125474294
26.14559507369995,0.10268998146057129,1,0,0,0,0.0,0,0,1,0.0,-2.0,1.0,-963.0,0.0,-1.8217666147181245e-09,0.01577793523514856,0.06155339283297382,4.0,130,210,178.0,1.78,0.0,-0.08471448455751791,1.7676253374525346,1.8707717989089192e-10,0.01457069180049686,0.08471448455751791,2.5061240043479263
26.24771809577942,0.10212302207946777,1,0,0,0,0.0,0,0,1,0.0,3.0,-5.0,-992.0,0.0,-1.3663249610385934e-09,0.01433345142636142,0.05990465439880978,4.0,130,211,178.6,1.786,0.0,-0.08471448469705115,1.77864578907782,1.395332341638722e-10,0.011020451625285421,0.08471448469705115,2.5171444559732117
26.34997820854187,0.10226011276245117,1,0,0,0,0.0,0,0,1,0.0,-29.0,1.0,-993.0,0.0,-1.0247437207789452e-09,0.013250088569771066,0.05881959025765541,4.0,130,212,179.2,1.7919999999999998,0.0,-0.08471448480184156,1.7875964122061254,1.0479040843946871e-10,0.008950623128305414,0.08471448480184156,2.526095079101517
26.451709032058716,0.1017308235168457,1,0,0,0,0.0,0,0,1,0.0,-22.0,-12.0,-995.0,0.0,-7.685577905842089e-10,0.0124375664273283,0.0577680982170993,4.0,130,213,179.8,1.798,0.0,-0.08471448488002757,1.7952839250464518,7.8186016956419e-11,0.007687512840326428,0.08471448488002757,2.5337825919418435
26.553704023361206,0.10199499130249023,1,0,0,0,0.0,0,0,1,0.0,22.0,0.0,-992.0,0.0,-5.764183429381567e-10,0.011828174820496225,0.05722016368115263,4.0,130,215,181.0,1.81,0.0,-0.08471448493881935,1.804672057086063,5.879178387457312e-11,0.009388132039611197,0.08471448493881935,2.5431707239814547
26.655723094940186,0.10201907157897949,1,0,0,0,0.0,0,0,0,0.0,-8.0,-29.0,-1018.0,0.0,-4.323137572036175e-10,0.008871131115372168,0.05451366300354201,4.0,130,214,180.4,1.804,0.0,-0.0847144849829236,1.8077400942244322,4.410424814073341e-11,0.003068037138369118,0.0847144849829236,2.546238761119824
26.757918119430542,0.10219502449035645,1,0,0,0,0.0,0,0,1,0.0,-30.0,-5.0,-969.0,0.0,-3.2423531790271307e-10,0.009153348336529126,0.054567389599373,4.0,130,217,182.2,1.8219999999999998,0.0,-0.08471448501605883,1.8167899659645488,3.313523625370627e-11,0.009049871740116622,0.08471448501605883,2.5552886328599405
26.860138177871704,0.10222005844116211,1,1,0,0,0.0,0,0,1,0.0,11.0,-3.0,-994.0,0.0,-2.4317648842703486e-10,0.009365011252396844,0.05477327246355931,4.0,130,215,181.0,1.81,0.0,-0.08471448504091635,1.8174333358460726,2.4857514858528084e-11,0.0006433698815238036,0.08471448504091635,2.5559320027414643
26.961649179458618,0.10151100158691406,1,1,0,0,0.0,0,0,1,0.0,11.0,-3.0,-994.0,0.0,-1.8238236632027614e-10,0.009523758439297633,0.05465311047648942,4.0,130,215,181.0,1.81,0.0,-0.08471448505943016,1.8177887366982288,1.8513816676962692e-11,0.00035540085215624066,0.08471448505943016,2.5562874035936205
27.063642978668213,0.10199379920959473,1,1,0,0,0.0,0,0,1,0.0,28.0,0.0,-998.0,0.0,-1.367867747402071e-10,0.009642818829473225,0.054941367678012734,4.0,140,217,186.2,1.8619999999999999,0.0,-0.08471448507338157,1.8388354493128882,1.3951402837380747e-11,0.021046712614659402,0.08471448507338157,2.57733411620828
27.165693998336792,0.1020510196685791,1,1,0,0,0.0,0,0,1,0.0,7.0,-6.0,-977.0,0.0,-1.0259008105515531e-10,0.009732114122104918,0.05507344734512734,4.0,140,216,185.6,1.8559999999999999,0.0,-0.08471448508385099,1.8490734504626734,1.0469422379560779e-11,0.010238001149785125,0.08471448508385099,2.5875721173580652
27.267645120620728,0.10195112228393555,1,1,0,0,0.0,0,0,0,0.0,1.0,-2.0,-1016.0,0.0,-7.694256079136648e-11,0.007299085591578689,0.05285697068050777,4.0,140,217,186.2,1.8619999999999999,0.0,-0.08471448509169537,1.8574773667664481,7.844380424079749e-12,0.008403916303774794,0.08471448509169537,2.59597603366184
27.36965823173523,0.10201311111450195,1,1,0,0,0.0,0,0,0,0.0,-22.0,6.0,-963.0,0.0,-5.770692059352486e-11,0.005474314193684017,0.051017824288167174,4.0,140,219,187.4,1.874,0.0,-0.08471448509758223,1.8672091122466261,5.886862502582993e-12,0.009731745480177967,0.08471448509758223,2.605707779142018
